STID,MDStatus,SCHID,CLASSROOM,TREAT,AGE,SEX,FRL,ELL,RACE,SPED,prOOOPos,poOOOPos,prCR,poCR,prLR,poLR,prBF,poBF,pdROBOC,prVSP,poVSP,pdVSPt1
12010,1,16,113,1,8.2299794661191,2,1,0,1,0,6,15,12,16,1,0,11,21,5,1,8,2
12016,1,16,113,2,7.5482546201232,2,0,1,3,0,17,14,15,15,6,11,14,30,9,4,7,3
12028,1,16,147,1,7.20328542094456,1,1,0,3,0,7,7,9,13,3,7,6,15,4,0,4,4
12031,1,16,147,4,7.52635181382615,2,1,1,4,0,20,0,20,15,0,6,36,88,8,2,10,8
12049,1,16,114,4,7.73442847364819,1,1,1,4,0,0,26,13,17,5,6,17,32,7,1,10,5
12059,1,16,114,2,7.94524298425736,2,0,1,4,0,6,19,11,3,0,0,20,40,6,2,3,2
12065,1,16,115,2,7.75633127994524,1,1,0,4,0,8,23,14,13,7,9,20,47,9,1,5,3
12068,1,16,115,1,7.07460643394935,2,1,1,4,0,11,9,11,20,4,8,8,15,5,3,2,1
12071,1,16,115,4,7.29363449691992,2,1,1,4,0,6,27,13,19,4,9,23,51,7,5,6,7
12073,1,16,115,2,7.9917864476386,1,1,1,4,0,19,21,9,22,3,10,20,35,8,4,10,8
12075,1,16,115,4,7.05544147843943,1,1,1,4,1,3,8,6,6,2,4,4,24,1,0,9,1
12083,1,16,145,3,7.7700205338809,2,1,1,4,0,15,19,13,20,3,10,7,28,8,2,21,9
12086,1,16,145,4,7.98631074606434,1,0,1,4,0,12,16,17,14,1,10,10,30,5,1,27,14
12095,1,16,145,2,7.60574948665298,2,0,1,4,0,9,25,14,24,7,7,23,42,9,3,11,7
12101,1,16,146,3,7.68514715947981,2,1,1,4,0,6,8,6,12,5,7,3,21,3,0,11,6
12116,1,16,146,2,7.8466803559206,1,0,1,4,0,7,18,7,12,0,2,7,19,2,0,3,1
12123,1,16,116,4,7.20054757015743,1,1,1,4,1,13,15,13,14,4,9,11,31,4,1,21,5
12124,1,16,116,1,7.81382614647502,2,0,1,4,0,6,12,15,14,6,9,6,12,6,3,1,5
12131,1,16,116,1,7.49897330595483,2,1,1,4,0,6,0,5,6,4,2,15,38,5,3,3,1
